PointDTO{lat=56.455911, lon=84.973827, autoId='K169XP70'}
PointDTO{lat=56.456043, lon=84.973785, autoId='K169XP70'}
PointDTO{lat=56.455911, lon=84.973827, autoId='K169XP70'}
PointDTO{lat=56.456043, lon=84.973785, autoId='K169XP70'}
PointDTO{lat=56.456135, lon=84.973738, autoId='K169XP70'}
PointDTO{lat=56.456226, lon=84.973797, autoId='K169XP70'}
PointDTO{lat=56.456281, lon=84.973971, autoId='K169XP70'}
PointDTO{lat=56.456245, lon=84.974127, autoId='K169XP70'}
PointDTO{lat=56.456093, lon=84.97431, autoId='K169XP70'}
PointDTO{lat=56.455911, lon=84.973827, autoId='K169XP70'}
PointDTO{lat=56.456043, lon=84.973785, autoId='K169XP70'}
PointDTO{lat=56.456135, lon=84.973738, autoId='K169XP70'}
PointDTO{lat=56.456226, lon=84.973797, autoId='K169XP70'}
PointDTO{lat=56.456281, lon=84.973971, autoId='K169XP70'}
PointDTO{lat=56.456245, lon=84.974127, autoId='K169XP70'}
PointDTO{lat=56.456093, lon=84.97431, autoId='K169XP70'}
PointDTO{lat=56.455886, lon=84.974595, autoId='K169XP70'}
PointDTO{lat=56.455757, lon=84.974743, autoId='K169XP70'}
PointDTO{lat=56.455644, lon=84.974841, autoId='K169XP70'}
PointDTO{lat=56.455468, lon=84.97467, autoId='K169XP70'}
PointDTO{lat=56.455342, lon=84.974254, autoId='K169XP70'}
PointDTO{lat=56.45528, lon=84.973848, autoId='K169XP70'}
PointDTO{lat=56.455911, lon=84.973827, autoId='K169XP70'}
PointDTO{lat=56.456043, lon=84.973785, autoId='K169XP70'}
PointDTO{lat=56.456135, lon=84.973738, autoId='K169XP70'}
PointDTO{lat=56.456226, lon=84.973797, autoId='K169XP70'}
PointDTO{lat=56.456281, lon=84.973971, autoId='K169XP70'}
PointDTO{lat=56.456245, lon=84.974127, autoId='K169XP70'}
PointDTO{lat=56.456093, lon=84.97431, autoId='K169XP70'}
PointDTO{lat=56.455886, lon=84.974595, autoId='K169XP70'}
PointDTO{lat=56.455757, lon=84.974743, autoId='K169XP70'}
PointDTO{lat=56.455644, lon=84.974841, autoId='K169XP70'}
PointDTO{lat=56.455468, lon=84.97467, autoId='K169XP70'}
PointDTO{lat=56.455342, lon=84.974254, autoId='K169XP70'}
PointDTO{lat=56.45528, lon=84.973848, autoId='K169XP70'}
PointDTO{lat=56.455249, lon=84.973262, autoId='K169XP70'}
PointDTO{lat=56.455241, lon=84.972765, autoId='K169XP70'}
PointDTO{lat=56.455236, lon=84.972025, autoId='K169XP70'}
PointDTO{lat=56.455236, lon=84.971241, autoId='K169XP70'}
PointDTO{lat=56.455233, lon=84.970578, autoId='K169XP70'}
PointDTO{lat=56.455233, lon=84.969806, autoId='K169XP70'}
